Time,Intensity,ADC_Value
0.11614203453063965,42,436
0.2117624282836914,42,436
0.32407093048095703,42,436
0.418773889541626,42,433
0.5153553485870361,42,433
0.610353946685791,42,433
0.7030327320098877,42,433
0.8199601173400879,42,433
0.911750078201294,42,437
1.0072410106658936,42,437
1.1025195121765137,49,509
1.2003257274627686,58,601
1.3070735931396484,65,669
1.401305913925171,69,709
1.5078401565551758,73,753
1.5931475162506104,77,791
1.7137506008148193,79,813
1.812462568283081,81,837
1.9001262187957764,86,885
1.9960284233093262,88,909
2.095135450363159,92,949
2.2009644508361816,100,1023
2.3021419048309326,100,1023
2.4022109508514404,100,1023
2.4971227645874023,100,1023
2.595202684402466,100,1023
2.7042698860168457,100,1023
2.8019416332244873,100,1023
2.901240348815918,100,1023
2.997718095779419,100,1023
3.104940891265869,100,1023
3.203246593475342,100,1023
3.2993245124816895,100,1023
3.3953933715820312,100,1023
3.486171007156372,100,1023
3.594770669937134,100,1023
3.6955134868621826,100,1023
3.797617197036743,97,999
3.8936004638671875,87,893
4.001691579818726,81,831
4.101546287536621,76,781
4.1952269077301025,72,741
4.293635606765747,70,721
4.3854992389678955,66,685
4.501647472381592,63,645
4.595478296279907,60,621
4.693486928939819,56,573
4.789507627487183,53,549
4.886059522628784,49,503
4.998349666595459,49,503
5.09391975402832,46,473
5.190359592437744,42,433
5.285927772521973,39,409
5.39797043800354,37,385
5.49370002746582,34,353
5.590460300445557,33,339
5.686586380004883,29,300
5.7826197147369385,27,284
5.894859313964844,25,262
5.9899046421051025,22,231
6.086398601531982,17,183
6.182472467422485,14,144
6.278538942337036,11,121
6.391133069992065,9,93
6.486983299255371,6,64
6.582964658737183,5,57
6.679018259048462,5,57
6.791196823120117,5,57
6.886746644973755,5,57
6.982596397399902,5,57
7.078853130340576,5,57
7.175149202346802,5,57
7.286893367767334,5,57
7.3832292556762695,5,57
7.478970527648926,5,57
7.5745530128479,5,57
7.67111349105835,5,57
7.7827582359313965,5,56
7.879331827163696,2,28
7.974618673324585,0,0
8.071146965026855,0,0
8.183544158935547,0,0
8.279464483261108,0,0
8.375727415084839,0,0
8.471335172653198,0,0
8.56771993637085,0,0
8.679425477981567,0,0
8.77577543258667,0,0
8.871464729309082,0,0
8.967376947402954,0,0
9.063853979110718,0,0
9.175612688064575,0,0
9.272021293640137,0,0
9.367695569992065,0,0
9.46314811706543,0,0
9.576461553573608,0,0
9.672921895980835,0,0
9.767826795578003,0,0
9.863867282867432,0,0
9.960215091705322,0,0
10.072250604629517,0,0
10.167955160140991,14,146
10.26401948928833,18,187
10.360101699829102,19,201
10.456092119216919,24,251
10.56817889213562,28,291
10.664143800735474,30,309
10.753748178482056,31,324
10.854623079299927,33,339
10.962506532669067,37,388
11.06231951713562,41,420
11.159423589706421,52,535
11.256789684295654,55,567
11.352744579315186,55,569
11.462480783462524,55,569
11.561280965805054,56,573
11.652643918991089,56,573
11.746594667434692,56,573
12.100349187850952,56,573
12.120364665985107,0,569
12.589754104614258,0,569
12.605372667312622,55,569
13.096961736679077,55,569
13.112967014312744,0,569
13.593629837036133,0,569
13.609633922576904,55,569
14.089310646057129,55,569
14.105291604995728,0,569
14.586020946502686,0,569
14.603036403656006,55,569
15.069510698318481,55,569
15.085156440734863,0,569
15.571046590805054,0,569
15.595115661621094,55,567
16.087454080581665,55,567
16.087454080581665,0,569
16.58741855621338,0,569
16.602458477020264,55,569
17.08228611946106,55,569
17.098288536071777,0,569
17.57884168624878,0,569
17.5948429107666,55,567
18.07427716255188,55,567
18.09069538116455,0,569
18.570844411849976,0,569
18.58631157875061,55,569
19.05843448638916,55,569
19.082939624786377,0,569
19.562577486038208,0,569
19.578583478927612,55,569
21.600022315979004,55,569
24.104868412017822,55,569
24.12086272239685,0,567
25.768593311309814,0,567
26.024338006973267,55,565
26.041074991226196,0,569
26.536285638809204,0,569
26.53734588623047,55,565
27.032325744628906,55,565
27.033384084701538,0,573
27.527804136276245,0,573
27.5438392162323,55,565
28.02385401725769,55,565
28.039936780929565,0,567
28.519344091415405,0,567
28.535744667053223,55,565
29.00858163833618,55,565
29.03211784362793,0,569
29.50136637687683,0,569
29.525585651397705,17,181
30.007363319396973,17,181
30.02299666404724,0,0
30.49496579170227,0,0
30.519548892974854,0,0
30.9893901348114,0,0
31.01512098312378,0,0
31.490567922592163,0,0
31.511873483657837,46,480
31.992825984954834,46,480
32.00848889350891,0,483
32.494685888290405,0,483
32.516494274139404,46,480
32.64917016029358,46,480
32.73125600814819,46,479
32.83832383155823,47,483
32.95046019554138,47,483
33.045987129211426,47,483
33.14236855506897,46,479
33.238290786743164,46,479
33.35046648979187,46,479
33.44617486000061,46,479
33.5416214466095,46,480
33.63817644119263,47,483
33.733726501464844,47,483
33.84556007385254,47,483
33.941882371902466,47,483
34.03751182556152,46,479
34.13342905044556,46,479
34.229071617126465,46,479
